CMDLINE /usr/bin/python3 videoToText.py
MEM 0.500000 1715768799.2585
MEM 39.910156 1715768799.3588
MEM 162.535156 1715768799.4592
MEM 203.660156 1715768799.5595
MEM 222.660156 1715768799.6598
MEM 270.785156 1715768799.7601
MEM 293.058594 1715768799.8627
MEM 303.183594 1715768799.9630
MEM 311.308594 1715768800.0633
MEM 316.933594 1715768800.1636
MEM 321.558594 1715768800.2639
MEM 328.308594 1715768800.3643
MEM 335.246094 1715768800.4647
MEM 339.246094 1715768800.5650
MEM 345.746094 1715768800.6653
MEM 355.621094 1715768800.7657
MEM 375.746094 1715768800.8660
MEM 391.496094 1715768800.9662
MEM 400.746094 1715768801.0666
MEM 409.621094 1715768801.1669
MEM 414.871094 1715768801.2672
MEM 428.742188 1715768801.3676
MEM 438.742188 1715768801.4679
MEM 442.742188 1715768801.5682
MEM 448.867188 1715768801.6685
MEM 451.242188 1715768801.7689
MEM 482.492188 1715768801.8693
MEM 487.742188 1715768801.9696
MEM 492.242188 1715768802.0699
MEM 500.867188 1715768802.1702
MEM 520.992188 1715768802.2704
MEM 523.242188 1715768802.3707
MEM 534.242188 1715768802.4710
MEM 547.242188 1715768802.5713
MEM 561.117188 1715768802.6717
MEM 563.867188 1715768802.7720
MEM 570.367188 1715768802.8724
MEM 577.367188 1715768802.9727
MEM 579.492188 1715768803.0730
MEM 606.992188 1715768803.1733
MEM 654.867188 1715768803.2735
MEM 655.617188 1715768803.3740
MEM 728.617188 1715768803.4743
MEM 732.496094 1715768803.5747
MEM 838.664062 1715768803.6751
MEM 861.789062 1715768803.7754
MEM 864.539062 1715768803.8757
MEM 867.414062 1715768803.9760
MEM 868.164062 1715768804.0764
MEM 905.664062 1715768804.1767
MEM 905.664062 1715768804.2770
MEM 905.664062 1715768804.3806
MEM 865.207031 1715768804.4810
MEM 865.207031 1715768804.5824
MEM 865.207031 1715768804.6827
MEM 865.207031 1715768804.7830
MEM 865.207031 1715768804.8833
MEM 868.082031 1715768804.9836
MEM 905.582031 1715768805.0839
MEM 905.582031 1715768805.1842
MEM 905.582031 1715768805.2845
MEM 849.542969 1715768805.3848
MEM 849.542969 1715768805.4851
MEM 849.542969 1715768805.5855
MEM 849.542969 1715768805.6858
MEM 886.917969 1715768805.7861
MEM 905.542969 1715768805.8864
MEM 905.542969 1715768805.9867
MEM 905.542969 1715768806.0870
MEM 852.636719 1715768806.1873
MEM 852.636719 1715768806.2876
MEM 852.636719 1715768806.3878
MEM 852.636719 1715768806.4881
MEM 852.636719 1715768806.6147
