CMDLINE /usr/bin/python3 videoToText.py
MEM 0.500000 1715768263.4917
MEM 39.914062 1715768263.5920
MEM 164.289062 1715768263.6924
MEM 203.664062 1715768263.7927
MEM 222.664062 1715768263.8931
MEM 271.289062 1715768263.9933
MEM 293.148438 1715768264.0937
MEM 303.898438 1715768264.1940
MEM 312.273438 1715768264.2943
MEM 317.148438 1715768264.3947
MEM 321.898438 1715768264.4950
MEM 329.023438 1715768264.5953
MEM 336.328125 1715768264.6956
MEM 339.328125 1715768264.7960
MEM 349.203125 1715768264.8963
MEM 363.828125 1715768264.9967
MEM 381.453125 1715768265.0970
MEM 395.703125 1715768265.1973
MEM 406.328125 1715768265.2976
MEM 410.078125 1715768265.3980
MEM 422.828125 1715768265.4983
MEM 433.828125 1715768265.5987
MEM 441.578125 1715768265.6990
MEM 443.453125 1715768265.7993
MEM 451.328125 1715768265.8997
MEM 475.953125 1715768266.0000
MEM 484.953125 1715768266.1003
MEM 490.578125 1715768266.2006
MEM 495.578125 1715768266.3010
MEM 511.953125 1715768266.4012
MEM 521.203125 1715768266.5016
MEM 532.703125 1715768266.6019
MEM 539.453125 1715768266.7022
MEM 557.453125 1715768266.8026
MEM 563.328125 1715768266.9029
MEM 569.953125 1715768267.0032
MEM 572.703125 1715768267.1035
MEM 579.328125 1715768267.2038
MEM 589.078125 1715768267.3041
MEM 637.078125 1715768267.4044
MEM 655.578125 1715768267.5047
MEM 667.703125 1715768267.6051
MEM 713.265625 1715768267.7053
MEM 713.390625 1715768267.8058
MEM 713.390625 1715768267.9062
MEM 713.390625 1715768268.0066
MEM 713.390625 1715768268.1069
MEM 713.390625 1715768268.2072
MEM 683.539062 1715768268.3075
MEM 713.277344 1715768268.4078
